1789,2340
1164,2398
1790,2389
1652,2427
1652,2416
1164,2305
1164,2324
1223,2386
1652,2292
1164,1969
1164,2283
1164,2334
1652,2408
1164,2332
1223,2422
1164,2302
1652,2398
1164,2427
1282,2395
1223,2396
1282,2397
1789,2383
1223,2356
1652,2414
1164,2346
1789,2289
1164,2380
1282,2342
1652,2387
1282,2421
1692,2333
1652,2337
1652,2336
1223,2357
1652,2250
1652,2309
1790,2321
1242,2310
1164,2322
1164,2377
1790,1984
1164,2288
1652,2324
1789,2362
1789,2377
1692,2307
1789,2385
1164,2312
1652,2315
1652,2386
1164,2397
1790,2364
1652,2352
1789,2326
1282,2399
1790,2358
1692,2298
1652,2329
1692,2293
1652,2359
1789,2301
1164,2308
1282,2356
1282,1891
1652,2428
1790,2423
1789,2302
1652,2287
1652,1969
1789,2293
1149,2376
1789,2319
1789,2364
1149,2427
1652,2303
1652,2334
1692,2340
1282,2352
1164,2401
1164,2362
1790,1960
1789,2297
1790,2286
1692,2094
1789,2334
1652,1828
1692,2328
1652,2405
1223,2290
1282,2418
1164,2282
1692,2334
1255,2381
1652,2301
1164,2381
1790,2283
1223,2398
1789,2077
1790,2338
1223,2418
1789,2390
1164,2289
1652,2365
1652,2347
1790,2410
1789,2284
1223,2350
1652,2415
1223,2411
1282,2296
1223,2313
1789,2358
1164,2361
1790,2415
1652,2354
1164,2389
1692,2330
1789,2339
1652,2317
1282,2351
1223,2330
1164,2349
1789,2354
1790,2332
1652,2296
1652,2311
1692,2284
1789,2312
1789,2397
1692,2309
1282,2413
1789,2346
1223,2378
1255,1819
1692,2332
1789,2333
1164,2077
1282,2374
1282,2408
1164,2359
1789,2094
1282,2308
1164,2412
1223,2338
1182,2313
1652,2417
1282,2366
1282,2312
1692,2317
1790,2387
1652,2295
1164,2365
1790,2422
1652,2358
1652,2349
1692,2294
1789,2365
1164,2376
1789,2300
1282,2298
1789,2305
1789,2371
1789,2250
1789,2342
1789,1819
1164,2371
1223,2348
1652,2307
1790,2424
1789,2363
1789,2321
1789,2369
1652,2285
1790,2395
1164,2394
1790,2175
1652,2392
1652,2422
1223,2412
1223,2361
1282,2345
1789,2401
1164,2301
1790,2077
1223,2368
1790,1902
1790,2297
1790,2320
1789,2368
1182,2371
1223,2385
1652,2282
1164,2318
1282,2250
1790,2341
1223,2426
1164,2403
1223,2415
1223,2175
1790,2333
1790,2054
1164,2319
1652,2283
1790,2411
1652,2420
1789,2386
1223,2382
1652,2424
1692,2349
1789,2317
1692,2352
1164,2369
1652,2284
1692,2342
1652,2385
1692,2291
1652,2404
1652,2289
1789,2373
1652,2293
1789,2314
1692,1984
1692,2077
1282,2287
1149,2421
1164,2286
1149,2425
1789,2322
1789,2389
1692,2175
1652,2378
1692,2308
1652,2412
1255,1865
1652,2403
1789,2296
1692,2325
1789,2292
1692,2296
1789,2338
1652,2343
1282,2419
1790,2420
1790,2390
1652,2357
1223,2324
1223,2424
1164,2390
1692,2302
1692,2310
1789,2299
1789,2054
1790,1865
1790,2369
1223,2363
1282,2363
1652,2383
1223,2342
1282,2299
1652,2362
1790,1828
1652,2331
1182,2411
